wk,day,date,time,result,home,away,attendance,venue,referee,match_report,season,mean_points_home,mean_score_home,mean_points_away,mean_score_away,b365h,b365d,b365a,bwh,bwd,bwa,iwh,iwd,iwa,psh,psd,psa,whh,whd,wha,vch,vcd,vca,max_h,max_d,max_a,avg_h,avg_d,avg_a,bet,wager_h,wager_d,wager_a,wager_total,profit,cum_profit
13,Sun,2019-12-01,15:30 (08:30),H,M'Gladbach,Freiburg,51080,Stadion im Borussia-Park,Felix Zwayer,Match Report,2019,3,3.5,1.25,1.25,1.53,4.2,6,1.57,4.33,5.5,1.57,4.4,5.5,1.58,4.56,5.58,1.57,4.33,5.5,1.53,4.4,5.2,1.63,4.65,6,1.56,4.41,5.44,1,0.6164451662081993,0.21608723030523977,0.16746760348656084,1,0.0048056209193647614,0.2854246356446759
13,Mon,2019-12-02,20:30 (13:30),H,Mainz 05,Eint Frankfurt,33134,Opel Arena,Manuel Gräfe,Match Report,2019,1.5,1.75,0.75,1.25,2.8,3.75,2.37,2.8,3.7,2.35,2.8,3.55,2.4,2.91,3.6,2.45,2.8,3.6,2.4,2.7,3.75,2.3,3.04,3.95,2.5,2.81,3.59,2.4,1,0.33493877827900825,0.2577756673337177,0.4072855543872741,1,0.018213885968185073,0.303638521612861
15,Wed,2019-12-04,19:30 (13:30),H,Southampton,Norwich City,27019,St. Mary's Stadium,Kevin Friend,Match Report,2019,0.75,1,1,0.5,1.72,4,4.2,1.75,4,4.33,1.85,3.7,4.1,1.79,4.09,4.41,1.75,4,4.4,1.75,4,4.6,1.85,4.15,4.6,1.78,3.99,4.35,1,0.541138119197789,0.2412302459074481,0.217631634894763,1,0.0011055205159096193,0.3047440421287706
14,Sat,2019-12-07,15:30 (08:30),H,RB Leipzig,Hoffenheim,38407,Red Bull Arena,Deniz Aytekin,Match Report,2019,1.75,3.5,2.5,2,1.44,4.75,6.5,1.42,5.25,6.5,1.5,4.6,5.9,1.45,5.16,6.73,1.42,5,7,1.44,5,6.5,1.52,5.25,7.2,1.44,4.98,6.48,1,0.6663845991114873,0.19293420774275435,0.14068119314575842,1,0.012904590649460701,0.3176486327782313
15,Sat,2019-12-07,15:00 (08:00),H,Atalanta,Hellas Verona,19335,Stadio Atleti Azzurri d'Italia,Paolo Valeri,Match Report,2019,1.5,2.75,1,0.75,1.33,5.25,9,1.33,5.25,9.5,1.35,5.2,8.8,1.34,5.4,9.62,1.3,5,11,1.3,5.25,11.5,1.37,5.5,11.5,1.33,5.19,9.39,1,0.7308758955396348,0.18205454125259996,0.08706956320776521,1,0.0012999768892998365,0.31894860966753114
16,Sat,2019-12-07,15:00 (09:00),A,Bournemouth,Liverpool,10832,Vitality Stadium,Chris Kavanagh,Match Report,2019,1.25,1,2.5,1.5,7,5.25,1.4,7.25,5,1.4,6.7,4.9,1.43,7.01,5.22,1.44,7.5,5,1.4,8,5,1.4,8,5.3,1.47,7.01,5.03,1.42,1,0.12576068182918756,0.1898274442704718,0.6844118739003405,0.9999999999999999,0.00608545463350052,0.32503406430103166
15,Sun,2019-12-08,15:00 (08:00),D,Sassuolo,Cagliari,12666,Stadio Città del Tricolore,Luca Pairetto,Match Report,2019,0.75,2,1.5,1.5,2.37,3.5,2.9,2.5,3.3,2.85,2.4,3.5,2.85,2.41,3.62,2.96,2.35,3.5,2.88,2.38,3.3,2.9,2.6,3.65,2.98,2.4,3.48,2.87,1,0.386875333451894,0.2755824293081985,0.33754223723990756,1,0.005875866974924371,0.330909931275956
16,Sun,2019-12-08,14:00 (08:00),A,Aston Villa,Leicester City,41908,Villa Park,Michael Oliver,Match Report,2019,1.75,1.75,2.25,3.5,4.33,3.8,1.8,4.5,3.9,1.75,4.1,3.85,1.83,4.38,3.92,1.84,4.2,3.9,1.8,4.2,3.9,1.8,4.5,4.07,1.9,4.27,3.88,1.82,1,0.22351002948147294,0.2471241112203017,0.5293658592982253,1,0.005795132666628122,0.33670506394258415
17,Sun,2019-12-08,15:00 (08:00),H,Reims,Saint-Étienne,14512,Stade Auguste-Delaune II,Stéphanie Frappart,Match Report,2019,1.5,0.5,2.25,1.5,2.05,3.25,4,1.95,3.3,4.25,2,3.2,4.05,2.01,3.38,4.24,1.95,3.2,4.2,2,3.1,4,2.1,3.4,4.4,1.99,3.26,4.1,1,0.4773452456924059,0.2948308870453096,0.2278238672622846,1,0.002425015954052423,0.33913007989663657
16,Mon,2019-12-09,20:00 (14:00),A,West Ham,Arsenal,59936,London Stadium,Mike Dean,Match Report,2019,0.25,1.5,0.5,0.75,3.3,4,2,3.6,4,1.91,3.4,3.95,1.97,3.5,4.1,2.02,3.4,4.2,1.95,3.5,4,1.95,3.6,4.25,2.08,3.43,4.02,1.98,1,0.27949917794359425,0.2367522448463387,0.48374857721006703,1,0.006197040596939374,0.34532712049357595
